date,equity
2016-01-04,100000.0
2016-01-04,100000.0
2016-01-05,100082.15746960908
2016-01-06,100149.92716605673
2016-01-07,99997.03691987216
2016-01-08,100115.22081104199
2016-01-11,100200.10794795933
2016-01-12,100172.64762184312
2016-01-13,100370.57880969375
2016-01-14,100357.33272408512
2016-01-15,100103.7910642347
2016-01-19,99580.30916209787
2016-01-20,99560.54360391745
2016-01-21,99170.50453070606
2016-01-22,99514.97317993167
2016-01-25,100088.24128499295
2016-01-26,99940.42137106713
2016-01-27,100121.90462182331
2016-01-28,100004.29819177846
2016-01-29,99863.25717042788
2016-02-01,100322.37701463237
2016-02-02,100333.96304533347
2016-02-03,99556.20786727444
2016-02-04,99820.59134166896
2016-02-05,100177.49736637724
2016-02-08,100035.3127834145
2016-02-09,99610.51738411747
2016-02-10,99640.38375696052
2016-02-11,99258.05671086744
2016-02-12,99289.68256375218
2016-02-16,99958.43362202166
2016-02-17,101392.5335102079
2016-02-18,102978.80114568291
2016-02-19,103484.607382474
2016-02-22,103257.77066839882
2016-02-23,104027.05071985853
2016-02-24,103076.27919835967
2016-02-25,102741.03475768908
2016-02-26,103663.16143135545
2016-02-29,103635.77841895219
2016-03-01,103519.15099590438
2016-03-02,103600.71924494792
2016-03-03,103757.83491483203
2016-03-04,104238.69298289786
2016-03-07,103900.88508363573
2016-03-08,103593.84826385189
2016-03-09,102964.25220128769
2016-03-10,102794.56569860104
2016-03-11,102822.79764584386
2016-03-14,103541.79337175924
2016-03-15,103398.4280849269
2016-03-16,103279.57416034778
2016-03-17,103632.03385021354
2016-03-18,104334.98950993823
2016-03-21,104839.1418003759
2016-03-22,104835.1317710238
2016-03-23,104839.00463085528
2016-03-24,104440.41202692797
2016-03-28,104647.38640869752
2016-03-29,104571.15281791941
2016-03-30,105774.69506373454
2016-03-31,105914.55996389569
2016-04-01,105529.56973324207
2016-04-04,105549.25316979123
2016-04-05,105013.2260614048
2016-04-06,104658.38715373733
2016-04-07,104634.59162284218
2016-04-08,104227.41168757337
2016-04-11,104115.34313350613
2016-04-12,104081.63899935974
2016-04-13,104505.10461560515
2016-04-14,104903.74754932178
2016-04-15,105239.16731104556
2016-04-18,102209.49949667518
2016-04-19,102125.99029544371
2016-04-20,102266.71690494804
2016-04-21,102574.23088099105
2016-04-22,101923.2403141317
2016-04-25,101418.26522107009
2016-04-26,101447.93228481789
2016-04-27,101388.94828069248
2016-04-28,100628.10865225428
2016-04-29,100176.85836053942
2016-05-02,99962.68109647823
2016-05-03,100026.08486401865
2016-05-04,99661.28656817591
2016-05-05,99541.38706100555
2016-05-06,99301.98909385654
2016-05-09,99674.6108170191
2016-05-10,99679.40350333475
2016-05-11,100311.55767482176
2016-05-12,100118.77897036303
2016-05-13,98990.62384159591
2016-05-16,99947.90125695136
2016-05-17,100838.3306557399
2016-05-18,100114.57352332446
