year,month,return
2016,1,-0.000152
2016,2,0.032084
2016,3,0.027873
2016,4,-0.042451
2016,5,0.020261
2016,6,-0.023790
2016,7,0.027853
2016,8,0.011032
2016,9,0.005557
2016,10,0.002652
2016,11,0.024365
2016,12,0.019291
2017,1,0.003034
2017,2,0.010245
2017,3,0.011892
2017,4,0.006391
2017,5,0.046942
2017,6,-0.007952
2017,7,0.037310
2017,8,0.010636
2017,9,-0.006116
2017,10,0.028474
2017,11,0.011939
2017,12,-0.007972
2018,1,0.045762
2018,2,-0.027096
2018,3,-0.040094
2018,4,0.015363
2018,5,0.062639
2018,6,-0.018636
2018,7,0.008878
2018,8,0.043031
2018,9,0.006651
2018,10,-0.066245
2018,11,0.024026
2018,12,-0.019942
2019,1,0.014421
2019,2,0.055676
2019,3,0.021913
2019,4,0.043077
2019,5,-0.061368
2019,6,0.050378
2019,7,0.015924
2019,8,-0.022859
2019,9,0.003528
2019,10,0.022726
2019,11,0.030961
2019,12,0.025761
2020,1,0.016486
2020,2,-0.030574
2020,3,-0.073649
2020,4,0.041742
2020,5,0.043332
2020,6,0.047676
2020,7,0.002566
2020,8,0.062047
2020,9,-0.022194
2020,10,-0.007363
2020,11,0.025222
2020,12,0.012736
2021,1,0.014256
2021,2,0.024891
2021,3,0.015219
2021,4,0.034488
2021,5,0.005363
2021,6,0.031405
2021,7,0.019020
2021,8,0.013868
2021,9,-0.012241
2021,10,0.025463
2021,11,0.042393
2021,12,0.024198
2022,1,-0.067619
2022,2,0.001325
2022,3,0.051443
2022,4,-0.036601
2022,5,-0.012974
2022,6,-0.035196
2022,7,0.042563
2022,8,-0.000011
2022,9,-0.022311
2022,10,0.065404
2022,11,0.035096
2022,12,-0.039035
2023,1,0.009672
2023,2,0.024050
2023,3,0.023590
2023,4,-0.013528
2023,5,0.108471
2023,6,0.024229
2023,7,0.044341
2023,8,-0.019140
2023,9,-0.020925
2023,10,-0.019800
2023,11,0.075352
2023,12,0.020978
2024,1,0.035545
2024,2,0.100570
2024,3,0.018282
2024,4,0.016521
2024,5,0.036434
2024,6,0.058330
2024,7,0.016849
2024,8,-0.027275
2024,9,0.026622
2024,10,-0.030030
2024,11,0.029126
2024,12,0.009443
2025,1,-0.007929
2025,2,0.021603
2025,3,-0.030421
2025,4,0.010801
2025,5,0.051283
2025,6,0.036683
2025,7,0.022452
2025,8,-0.002699
2025,9,0.016304
2025,10,0.015082
2025,11,-0.004250
2025,12,-0.000069
2026,1,-0.006896
2026,2,-0.002359
