window,is_start,is_end,oos_start,oos_end,IS_sharpe,OOS_sharpe,ratio,IS_ret,OOS_ret,error
0,2015-12-31,2018-05-01,2018-05-01,2018-11-23,0.1682,-0.9731,-5.7865,0.140152,-0.040577,
1,2016-08-01,2018-11-23,2018-11-23,2019-06-27,-0.3038,0.4286,-1.4107,0.036234,0.049154,
2,2017-03-03,2019-06-27,2019-06-27,2020-01-24,-0.0966,0.1129,-1.1682,0.078440,0.032604,
3,2017-09-28,2020-01-24,2020-01-24,2020-08-20,-0.1925,0.4948,-2.5706,0.056990,0.062629,
4,2018-05-01,2020-08-20,2020-08-20,2021-03-25,0.0566,-0.8478,-14.9678,0.112796,-0.017199,
5,2018-11-23,2021-03-25,2021-03-25,2021-10-19,0.1189,0.1097,0.9228,0.129511,0.032250,
6,2019-06-27,2021-10-19,2021-10-19,2022-05-20,0.0859,-1.2549,-14.6113,0.121097,-0.050801,
7,2020-01-24,2022-05-20,2022-05-20,2022-12-19,-0.0826,0.2024,-2.4508,0.079551,0.040529,
8,2020-08-20,2022-12-19,2022-12-19,2023-07-24,-0.3058,2.4300,-7.9459,0.027921,0.209610,
9,2021-03-25,2023-07-24,2023-07-24,2024-02-23,0.4636,1.4238,3.0714,0.226828,0.127992,
10,2021-10-19,2024-02-23,2024-02-23,2024-09-19,0.5691,0.4657,0.8183,0.272170,0.053589,
11,2022-05-20,2024-09-19,2024-09-19,2025-04-22,1.1749,-1.8181,-1.5474,0.471596,-0.108780,
12,2022-12-19,2025-04-22,2025-04-22,2025-11-17,0.5928,0.3778,0.6373,0.278402,0.047468,
13,2023-07-24,2025-11-17,2025-11-17,2026-02-24,0.2436,-1.6474,-6.7636,0.165531,-0.012902,
